262,48,108,303
266,47,105,306
266,47,106,305
269,48,106,309
273,49,129,308
278,48,124,310
286,50,111,308
286,53,113,305
282,53,117,305
286,56,111,302
288,60,116,298
295,59,116,300
292,60,120,298
289,64,122,294
285,65,127,294
155,0,63,168
148,0,58,166
141,0,58,168
136,0,61,168
133,0,60,168
230,118,200,241
130,0,60,169
123,0,56,168
116,0,60,166
103,0,70,167
575,0,64,210
165,0,93,179
163,0,88,177
163,0,92,172
162,0,87,172
262,48,108,303
266,47,105,306
266,47,106,305
269,48,106,309
273,49,129,308
278,48,124,310
286,50,111,308
286,53,113,305
282,53,117,305
286,56,111,302
288,60,116,298
295,59,116,300
292,60,120,298
289,64,122,294
285,65,127,294
155,0,63,168
148,0,58,166
141,0,58,168
136,0,61,168
133,0,60,168
230,118,200,241
130,0,60,169
123,0,56,168
116,0,60,166
103,0,70,167
575,0,64,210
165,0,93,179
163,0,88,177
163,0,92,172
162,0,87,172
192,0,83,175
196,0,79,177
196,0,79,177
198,0,78,178
216,0,79,173
218,0,77,173
223,0,79,174
190,170,189,188
180,0,60,170
159,0,85,177
247,0,69,180
179,0,76,173
189,0,73,168
151,0,56,166
146,0,56,166
205,0,62,170
67,0,87,185
144,0,60,180
214,0,61,182
215,0,60,185
215,0,60,184
217,0,59,188
7,0,89,189
7,0,92,192
8,0,89,195
8,0,87,197
148,0,69,194
11,0,86,199
11,0,89,209
8,0,93,212
7,0,94,210
348,0,80,233
349,0,79,233
349,0,79,232
353,0,79,223
24,0,95,197
180,0,62,186
110,0,87,197
110,0,87,197
116,0,88,198
386,0,76,226
391,0,78,225
393,0,79,221
326,0,79,206
326,0,79,206
340,0,80,203
94,0,91,183
307,0,54,176
177,184,167,175
419,0,84,211
349,0,82,199
307,0,60,170
110,0,93,170
108,0,98,173
117,0,84,170
124,0,82,167
188,105,171,252
193,97,164,260
131,0,87,170
135,0,87,174
198,81,180,277
207,81,177,278
207,81,176,278
206,83,161,275
207,85,142,273
207,90,136,268
216,91,130,266
221,90,128,269
221,90,129,269
216,89,133,270
211,89,132,269
210,83,133,275
208,78,135,280
208,80,132,278
208,76,133,283
210,82,134,276
209,61,132,297
210,79,131,279
213,77,131,282
212,76,133,282
211,74,134,284
211,69,137,290
207,72,137,286
208,70,136,288
207,73,137,286
204,64,137,294
205,66,136,293
202,70,135,288
199,63,132,294
200,64,132,294
